feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Hydrogenophaga	Treatment	Exposed	-0.0588235294117655	0.0571152220591701	35	1	0.310542153869178	0.417969139420997
Stenotrophomonas	Treatment	Exposed	0.0555555555555569	0.0572142945049374	35	1	0.338607910416966	0.417969139420997
Veillonella	Treatment	Exposed	-0.0588235294117643	0.0571152220591701	35	1	0.310542153869187	0.417969139420997
Azospira	Treatment	Exposed	-0.0588235294117608	0.0571152220591701	35	1	0.310542153869216	0.417969139420997
Prevotella_6	Treatment	Exposed	-0.0588235294117637	0.0571152220591701	35	1	0.310542153869192	0.417969139420997
Ottowia	Treatment	Exposed	0.0555555555555553	0.0572142945049374	35	1	0.33860791041698	0.417969139420997
Chryseobacterium	Treatment	Exposed	-0.0588235294117625	0.0571152220591701	35	1	0.310542153869202	0.417969139420997
Fusobacterium	Treatment	Exposed	-0.0588235294117637	0.0571152220591701	35	1	0.310542153869192	0.417969139420997
Xylophilus	Treatment	Exposed	-0.0588235294117625	0.0571152220591701	35	1	0.310542153869202	0.417969139420997
Ideonella	Treatment	Exposed	0.0555555555555547	0.0572142945049374	35	1	0.338607910416985	0.417969139420997
Bdellovibrio	Treatment	Exposed	-0.131345576868251	0.0878511385671759	35	2	0.144392690172357	0.417969139420997
ASV323	Treatment	Exposed	-0.0588235294117678	0.0571152220591701	35	1	0.310542153869159	0.417969139420997
Lachnospiraceae_NK4A136_group	Treatment	Exposed	0.0555555555555517	0.0572142945049374	35	1	0.33860791041701	0.417969139420997
Verrucomicrobiaceae.Genus	Treatment	Exposed	-0.0588235294117625	0.0571152220591701	35	1	0.310542153869202	0.417969139420997
Rickettsia	Treatment	Exposed	0.437421553499243	0.3251126659902	35	3	0.187653918073043	0.417969139420997
Gaiellales.Genus	Treatment	Exposed	-0.265752627558272	0.205417617655331	35	2	0.204744725654641	0.417969139420997
Prevotella	Treatment	Exposed	-0.0588235294117649	0.0571152220591701	35	1	0.310542153869183	0.417969139420997
Herpetosiphon	Treatment	Exposed	-0.0588235294117631	0.0571152220591701	35	1	0.310542153869197	0.417969139420997
Leptotrichia	Treatment	Exposed	-0.0588235294117649	0.0571152220591701	35	1	0.310542153869183	0.417969139420997
X0319.6G20.Genus	Treatment	Exposed	0.0555555555555524	0.0572142945049374	35	1	0.338607910417005	0.417969139420997
Haemophilus	Treatment	Exposed	-0.0588235294117625	0.0571152220591701	35	1	0.310542153869202	0.417969139420997
Thermoanaerobacterium	Treatment	Exposed	-0.0588235294117614	0.0571152220591701	35	1	0.310542153869211	0.417969139420997
ASV385	Treatment	Exposed	0.0555555555555547	0.0572142945049374	35	1	0.338607910416985	0.417969139420997
Paracoccus	Treatment	Exposed	-0.132432860765601	0.0886570765219377	35	2	0.144737930745363	0.417969139420997
Blfdi19.Genus	Treatment	Exposed	0.310549385568584	0.265458872950249	35	2	0.250437859907048	0.417969139420997
Candidatus_Paracaedibacter	Treatment	Exposed	0.0555555555555582	0.0572142945049374	35	1	0.338607910416955	0.417969139420997
Alloprevotella	Treatment	Exposed	-0.0588235294117608	0.0571152220591701	35	1	0.310542153869216	0.417969139420997
Corynebacterium_1	Treatment	Exposed	-0.0588235294117602	0.0571152220591701	35	1	0.31054215386922	0.417969139420997
Myxococcales.Genus	Treatment	Exposed	0.0555555555555567	0.0572142945049374	35	1	0.338607910416968	0.417969139420997
Hyphomicrobium	Treatment	Exposed	-0.058823529411766	0.0571152220591701	35	1	0.310542153869174	0.417969139420997
Rothia	Treatment	Exposed	-0.0588235294117625	0.0571152220591701	35	1	0.310542153869202	0.417969139420997
Muribaculaceae.Genus	Treatment	Exposed	-0.166840242550604	0.116246019008001	35	2	0.160631340979715	0.417969139420997
Gemella	Treatment	Exposed	-0.0588235294117608	0.0571152220591701	35	1	0.310542153869216	0.417969139420997
Babeliales.Genus	Treatment	Exposed	0.0555555555555547	0.0572142945049374	35	1	0.338607910416985	0.417969139420997
Paracaedibacteraceae.Genus	Treatment	Exposed	0.0555555555555558	0.0572142945049374	35	1	0.338607910416975	0.417969139420997
Lacunisphaera	Treatment	Exposed	-0.0588235294117631	0.0571152220591701	35	1	0.310542153869197	0.417969139420997
Scardovia	Treatment	Exposed	-0.058823529411762	0.0571152220591701	35	1	0.310542153869206	0.417969139420997
Roseomonas	Treatment	Exposed	0.152703849872378	0.160883022965257	35	3	0.349438632908805	0.427994604647994
Mycobacterium	Treatment	Exposed	-0.887263227038298	0.944557293454729	35	25	0.354379849496791	0.430707817080715
Deinococcus	Treatment	Exposed	0.557111872303476	0.636891731713195	35	2	0.3880399013032	0.468017590884775
Glutamicibacter	Treatment	Exposed	-0.550777422505169	0.657701997979748	35	14	0.408376745367291	0.485139291488962
env.OPS_17.Genus	Treatment	Exposed	0.44840363295613	0.532430267273145	35	3	0.405747994606347	0.485139291488962
Afipia	Treatment	Exposed	0.235929014140777	0.308879601486296	35	2	0.450400318473955	0.531069032230484
Pirellula	Treatment	Exposed	0.23601231072151	0.338591944640614	35	5	0.490659076367936	0.574252844934325
Brevibacterium	Treatment	Exposed	0.142497721248163	0.215055279176345	35	2	0.512182215794114	0.595035221290221
PeM15.Genus	Treatment	Exposed	-0.114863245368546	0.175081906571397	35	2	0.516337732744647	0.595484392508425
Gemmataceae.Genus	Treatment	Exposed	-0.442800271480999	0.693564448646802	35	18	0.527592657836024	0.604055361870231
Paucibacter	Treatment	Exposed	0.501059603376679	0.828406170099192	35	12	0.54941696537	0.624517126104029
Babeliaceae.Genus	Treatment	Exposed	0.0992273517217529	0.172499779485713	35	2	0.569036310371125	0.642198121704556
